,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
147,Alphalogic Techsys,Tax Ann.,33.9%,14.9%,1.2,0.9,0.7,0.5,0.2,0.6,0.6,0.1,0.1,,
148,Alphalogic Techsys,Cash from Investing Act. Ann.,-,-,2.1,-3.1,-1.9,-1.8,-1.2,-5.8,-3.1,0.9,,,
149,Alphalogic Techsys,Cash from Financing Act. Ann.,-,-,-1.1,-0.4,8.3,6.3,-1.1,7,1.9,-1.4,,,
150,Alphalogic Techsys,Net Cash Flow Ann.,-,-,,,,,,-0.4,0.4,-0,,,
151,Alphalogic Techsys,Cash Plus Cash Eqv. Begin Of Year Ann.,-,-,0,0,,0,0,0.4,,0,,,
152,Alphalogic Techsys,Cash Plus Cash Eqv. End Of Year Ann.,-,-,,0,0,,0,0,0.4,,,,
153,Sterling and Wilson,Cash from Operating Act. Ann.,-,-,-17.6,"1,027.1",-579.7,"-1,260.6",-9.6,-271.7,149.1,347.3,,,
154,Sterling and Wilson,PBT Ann.,-,-2.9%,365.7,123.5,-347,-205.4,-142.7,424.4,304.1,202.3,,,
155,Sterling and Wilson,Interest Ann.,12.1%,-6.2%,106.2,192.4,141.1,75.3,67.6,146.2,56.2,10.6,,,
156,Sterling and Wilson,Tax Ann.,-,-15.9%,47.5,36.2,8.1,-37.9,-31.2,113,107.9,70.4,,,
157,Sterling and Wilson,Cash from Investing Act. Ann.,-,-,-188,-702.3,"-1,088",500.3,225.5,961.9,-934.5,-50.9,,,
158,Sterling and Wilson,Cash from Financing Act. Ann.,-31.2%,-,319.8,-85.2,"1,346",982.2,-275,-818.3,"1,055.9",-257.2,,,
159,Sterling and Wilson,Net Cash Flow Ann.,-19.9%,-,114.1,239.5,-321.7,221.9,-59.1,-128.1,270.5,39.2,,,
160,Sterling and Wilson,Cash Plus Cash Eqv. Begin Of Year Ann.,28.9%,-3.2%,262.9,23.3,344.9,122.7,182.1,309.9,39.4,0.2,,,
161,Sterling and Wilson,Cash Plus Cash Eqv. End Of Year Ann.,3.3%,15.9%,380.7,262.9,23.3,344.9,122.7,181.7,309.9,39.4,,,
162,Spandana Sphoorty,Cash from Operating Act. Ann.,66.5%,-,"3,783","-2,503.4","-2,052.5",819.9,"-1,618.2",-53.7,-649.8,"-1,855.1",-58.9,113.9,-181.9
163,Spandana Sphoorty,PBT Ann.,-,-,"-1,273.9",626,18.3,64.6,177.6,598.1,469.4,282.7,45.6,243.2,105.3
164,Spandana Sphoorty,Interest Ann.,19.4%,19.8%,875.6,897.4,445.1,514.1,417.2,354.1,356.5,231.8,149.4,129.4,111.8
165,Spandana Sphoorty,Tax Ann.,-,-,-317.1,158.1,5.9,18,48.7,261.5,160.6,94.8,-397.8,,0.8
166,Spandana Sphoorty,Cash from Investing Act. Ann.,-,-,-200.2,-10.4,-177.6,44.9,514.4,-485.2,-59.3,-5.6,-1.2,-9.6,-7
167,Spandana Sphoorty,Cash from Financing Act. Ann.,-,-,"-3,761.3","3,089","2,316.5","-1,271.6","2,180.9",447.1,752,"1,673.1",314.9,-128.1,222.2
168,Spandana Sphoorty,Net Cash Flow Ann.,-,-,-178.6,575.2,86.4,-406.8,"1,077.2",-91.8,42.9,-187.6,254.8,-23.8,33.3
169,Spandana Sphoorty,Cash Plus Cash Eqv. Begin Of Year Ann.,7%,57%,"1,385.6",810.4,724,"1,130.8",53.6,145.4,102.5,290.1,35.3,59.1,25.8
170,Spandana Sphoorty,Cash Plus Cash Eqv. End Of Year Ann.,18.6%,86.4%,"1,207","1,385.6",810.4,724,"1,130.8",53.6,145.4,102.5,290.1,35.3,59.1
171,Affle,Cash from Operating Act. Ann.,-4.4%,9.9%,51.3,8.2,59.4,58.8,15.3,32,17.5,17.4,5.8,5.8,0.4
172,Affle,PBT Ann.,27%,28.7%,155.1,101.7,90,75.8,39.6,44,23.5,13.6,0.8,4.9,1.7
173,Affle,Interest Ann.,16.3%,29.7%,1.1,0.7,0.2,0.7,0.4,0.3,0.5,1.1,1.6,0.9,0.2
174,Affle,Tax Ann.,27.1%,29%,39.6,25.7,23.2,19.3,11.3,11.1,6.9,4.8,0.5,-0.2,-0.5
175,Affle,Cash from Investing Act. Ann.,-,-,111.6,-689.6,-79.4,-472.8,-51.6,-68.4,-22.3,-1.4,-5.7,-7.8,0.5
176,Affle,Cash from Financing Act. Ann.,-65.2%,-21.9%,24.8,739.9,-8.3,590.4,-0.7,85.2,-0.4,-8.1,-2.2,7.2,-0.1
177,Affle,Net Cash Flow Ann.,2.1%,30.9%,187.7,58.5,-28.3,176.4,-37.1,48.8,-5.2,7.9,-2.1,5.2,0.8
178,Affle,Cash Plus Cash Eqv. Begin Of Year Ann.,124.3%,93%,227.8,169.4,196.5,20.2,57.3,8.5,13.7,5.8,7.9,1.6,0.8
179,Affle,Cash Plus Cash Eqv. End Of Year Ann.,28.3%,48.6%,415.2,227.8,169.4,196.5,20.2,57.3,8.5,13.7,5.8,6.8,1.6
180,Wonder Electricals,Cash from Operating Act. Ann.,-,-,-21.6,-17.4,2.4,-3.9,-6.2,6.7,22.3,-8.5,8.1,,
181,Wonder Electricals,PBT Ann.,36.7%,35.2%,25.3,14.5,8.9,9.9,5.9,5.6,8.1,10.6,6.7,,
182,Wonder Electricals,Interest Ann.,39.6%,35.3%,6.8,4.3,3,2.5,1.6,1.5,0.1,0.2,1.9,,
