,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
172,Jupiter Life Line ,MainBoard,1511.6,9911.0,18 Sep `23,869.1 Cr,₹ 735,187.3x,34.8x,7.7x,63.7x,973.0,1075.8,32.4%,105.7%
173,Rishabh Instruments,MainBoard,281.3,1080.3,11 Sep `23,490.8 Cr,₹ 441,72.5x,31.3x,8.4x,31.6x,460.1,443.1,4.3%,-36.2%
174,Ratnaveer Precision,MainBoard,154.0,817.0,11 Sep `23,165.0 Cr,₹ 98,133.1x,135.2x,54.0x,94.0x,123.2,129.3,25.7%,57.1%
175,Vishnu Prakash R Punglia,MainBoard,162.3,2023.2,05 Sep `23,308.9 Cr,₹ 99,171.7x,111.0x,32.0x,87.8x,165.0,145.7,66.7%,64.0%
176,Aeroflex Industries,MainBoard,201.0,2599.3,31 Aug `23,351.0 Cr,₹ 108,194.7x,126.1x,34.4x,97.1x,190.0,163.3,75.9%,86.1%
177,Pyramid Technoplast,MainBoard,175.0,643.7,29 Aug `23,153.1 Cr,₹ 166,9.9x,32.2x,14.7x,18.3x,185.0,175.8,11.4%,5.4%
178,TVS Supply Chain ,MainBoard,130.8,5771.4,23 Aug `23,880.0 Cr,₹ 197,1.4x,2.4x,7.6x,2.8x,207.1,201.0,5.1%,-33.6%
179,Concord Biotech,MainBoard,1773.0,18548.5,18 Aug `23,1551.0 Cr,₹ 741,67.7x,17.0x,3.8x,24.9x,900.0,942.8,21.5%,139.3%
180,SBFC Finance,MainBoard,112.5,12250.3,16 Aug `23,1025.0 Cr,₹ 57,192.9x,49.1x,11.0x,70.2x,82.0,92.2,43.9%,97.4%
181,Yatharth Hospital ,MainBoard,605.8,5836.7,07 Aug `23,686.5 Cr,₹ 300,85.1x,37.2x,8.3x,36.2x,306.1,333.9,2.0%,101.9%
182,Netweb Technologies,MainBoard,1800.1,10198.3,27 Jul `23,631.0 Cr,₹ 500,228.9x,81.8x,19.1x,90.4x,947.0,910.4,89.4%,260.0%
183,Utkarsh Small Finance ,MainBoard,23.7,2615.2,21 Jul `23,500.0 Cr,₹ 25,124.8x,81.6x,72.1x,101.9x,40.0,48.0,60.0%,-5.0%
184,Senco Gold,MainBoard,356.6,5836.9,14 Jul `23,405.0 Cr,₹ 317,90.1x,35.0x,6.5x,36.5x,430.0,405.3,35.6%,125.0%
185,Cyient DLM,MainBoard,490.9,3896.0,10 Jul `23,592.0 Cr,₹ 265,90.4x,45.0x,49.2x,67.3x,403.0,420.6,52.1%,85.3%
186,ideaForge Technology,MainBoard,583.4,2519.9,07 Jul `23,567.0 Cr,₹ 672,125.8x,80.6x,85.2x,106.0x,1300.0,1295.0,93.5%,-13.2%
187,HMA Agro Industries,MainBoard,30.4,1522.3,04 Jul `23,480.0 Cr,₹ 585,1.7x,3.0x,1.0x,1.6x,625.0,585.6,6.8%,-48.0%
188,IKIO Lighting,MainBoard,215.6,1666.0,16 Jun `23,607.0 Cr,₹ 285,163.6x,63.4x,13.9x,66.3x,392.5,403.9,37.7%,-24.4%
189,Nexus Select Trust ,MainBoard,142.0,21513.0,19 May `23,3200.0 Cr,₹ 100,1.9x,6.2x,-,3.0x,103.0,104.3,3.0%,42.0%
190,Mankind Pharma,MainBoard,2418.8,99830.8,09 May `23,4326.4 Cr,₹ 1080,49.2x,3.8x,0.9x,15.3x,1300.0,1422.3,20.4%,124.0%
191,Avalon Technologies,MainBoard,842.0,5598.9,18 Apr `23,865.0 Cr,₹ 436,3.6x,0.4x,0.8x,2.2x,436.0,398.0,0.0%,93.1%
