,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
173,Shantidoot Infra Serv,SME,205.5,36.9,19 Sep `22,4.0 Cr,₹ 81,-,2.4x,3.3x,2.9x,105.0,110.3,29.6%,153.7%
174,Viviana Power Tech,SME,1155.0,724.9,16 Sep `22,8.8 Cr,₹ 55,-,97.5x,72.8x,85.1x,90.0,94.5,63.6%,2000.0%
175,Virtuoso Optoelectronics,SME,485.0,1430.2,15 Sep `22,30.2 Cr,₹ 56,-,112.9x,80.8x,96.8x,117.0,115.4,108.9%,766.1%
176,EP Biocomposites,SME,105.0,17.7,13 Sep `22,6.3 Cr,₹ 126,-,21.6x,15.4x,18.5x,160.3,168.3,27.2%,-16.7%
177,JFL Life Sciences,SME,17.6,58.1,08 Sep `22,18.2 Cr,₹ 61,-,6.2x,11.7x,8.9x,70.0,66.5,14.8%,-71.2%
178,Jay Jalaram Tech,SME,137.1,162.8,08 Sep `22,10.8 Cr,₹ 36,-,18.6x,11.4x,15.0x,50.0,52.5,38.9%,280.8%
179,Dipna Pharmachem,SME,24.1,58.1,08 Sep `22,15.2 Cr,₹ 38,-,0.8x,4.8x,2.8x,32.0,33.4,-15.8%,-36.5%
180,Ameya Precision Engineers,SME,114.5,85.9,08 Sep `22,7.1 Cr,₹ 34,-,259.2x,243.5x,251.3x,68.4,65.4,101.2%,236.8%
181,Rhetan TMT,SME,19.0,1513.3,05 Sep `22,56.0 Cr,₹ 70,-,2.2x,0.8x,1.5x,70.0,66.5,0.0%,915.5%
182,Naturo bull,SME,3.8,7.2,02 Sep `22,10.9 Cr,₹ 30,-,8.4x,32.1x,20.3x,25.0,26.3,-16.7%,-87.2%
183,Olatech Solutions,SME,219.6,97.7,29 Aug `22,1.9 Cr,₹ 27,-,517.7x,679.9x,598.8x,51.3,53.9,90.0%,1405.1%
184,Veekayem Fashion ,SME,243.8,143.2,22 Aug `22,4.4 Cr,₹ 28,-,355.9x,247.1x,301.5x,49.9,50.0,78.2%,770.5%
185,Upsurge Seeds,SME,162.0,114.4,11 Aug `22,22.8 Cr,₹ 120,-,101.7x,59.3x,80.5x,140.0,147.0,16.7%,35.0%
186,Agni Green Power,SME,27.9,54.5,01 Aug `22,5.3 Cr,₹ 10,-,107.4x,39.9x,73.7x,25.0,26.3,150.0%,179.0%
187,Healthy Life Agritec,SME,69.0,171.2,26 Jul `22,10.0 Cr,₹ 10,-,5.2x,11.2x,8.2x,8.9,9.3,-11.0%,590.0%
188,SKP Bearing ,SME,217.1,360.3,13 Jul `22,30.8 Cr,₹ 70,-,10.2x,9.9x,10.1x,73.0,72.5,4.3%,210.1%
189,Jayant Infratech,SME,86.5,87.9,13 Jul `22,6.2 Cr,₹ 67,-,4.2x,3.8x,4.0x,76.0,79.8,13.4%,287.6%
190,B-Right Realestate,SME,347.0,358.5,13 Jul `22,44.4 Cr,₹ 153,-,1.8x,0.6x,1.2x,155.0,147.3,1.3%,126.8%
191,Mangalam Drugs ,SME,87.6,138.7,12 Jul `22,65.6 Cr,₹ 101,-,2.2x,0.5x,1.3x,150.0,151.7,48.5%,-13.3%
192,Kesar,SME,620.0,1532.2,12 Jul `22,15.8 Cr,₹ 170,-,2.6x,0.9x,1.8x,172.5,174.0,1.5%,2452.5%
193,KCK Industries,SME,43.5,276.7,08 Jul `22,4.5 Cr,₹ 30,-,3.0x,8.8x,5.9x,25.0,26.3,-16.7%,625.0%
194,Sailani Travels,SME,13.7,6.4,08 Jul `22,1.9 Cr,₹ 15,-,1.9x,4.6x,3.2x,15.5,16.3,3.3%,-8.8%
195,Pearl Green Clubs,SME,103.9,27.8,07 Jul `22,11.7 Cr,₹ 186,-,1.8x,1.4x,1.6x,189.1,198.5,1.6%,-44.1%
196,Modis Navnirman,SME,270.5,529.9,06 Jul `22,22.7 Cr,₹ 180,-,2.8x,1.2x,2.0x,189.0,188.9,5.0%,501.1%
197,Goel Food Products,SME,19.2,36.2,28 Jun `22,7.2 Cr,₹ 72,-,1.2x,2.1x,1.6x,75.0,78.8,4.2%,33.5%
198,Scarnose Intl,SME,86.5,27.2,27 Jun `22,6.6 Cr,₹ 55,-,2.1x,2.3x,2.2x,55.5,56.0,0.9%,57.3%
199,Silver Pearl Hospitality,SME,8.8,6.9,17 Jun `22,9.0 Cr,₹ 18,-,0.8x,2.6x,1.7x,16.0,15.2,-11.1%,-50.9%
200,Rachana Infra,SME,41.0,76.3,13 Jun `22,76.3 Cr,₹ 135,-,1.8x,0.6x,1.2x,138.7,139.1,2.7%,-69.6%
201,Fidel Softech,SME,182.8,251.4,10 Jun `22,13.5 Cr,₹ 37,-,138.3x,67.4x,102.9x,59.1,62.0,59.7%,394.1%
202,Globesecure Tech,SME,13.8,22.0,02 Jun `22,10.1 Cr,₹ 29,-,23.7x,4.6x,14.2x,36.5,37.1,25.9%,-52.4%
203,Sonu Infratech,SME,123.9,128.2,17 May `22,8.6 Cr,₹ 36,-,13.4x,19.6x,16.5x,36.0,37.6,0.0%,244.2%
204,Fone4 Communications,SME,6.8,16.8,06 May `22,6.8 Cr,₹ 10,-,7.4x,22.1x,14.8x,10.0,9.5,0.0%,-32.5%
205,Nanavati Ventures,SME,101.0,47.2,06 May `22,2.2 Cr,₹ 50.02,-,13.9x,51.2x,32.5x,50.0,50.3,-0.0%,101.9%
206,Jeena Sikho Lifecare,SME,538.0,6686.8,19 Apr `22,55.5 Cr,₹ 150,-,2.8x,1.7x,2.3x,165.1,173.3,10.1%,3127.1%
207,Eighty Jewellers,SME,45.0,45.9,13 Apr `22,11.1 Cr,₹ 41,-,2.9x,2.0x,2.5x,42.0,44.1,2.4%,9.8%
208,Sunrise Efficient ,SME,201.8,302.6,12 Apr `22,16.7 Cr,₹ 121,-,1.8x,1.1x,1.5x,121.3,124.8,0.2%,400.3%
209,Dhyaani Tradeventures,SME,13.4,22.9,12 Apr `22,2.5 Cr,₹ 51,-,2.0x,2.4x,2.2x,52.3,54.8,2.5%,-26.1%
210,Krishna Defence & Allied,SME,902.1,1268.3,06 Apr `22,11.9 Cr,₹ 39,8.8x,159.9x,132.3x,74.8x,75.0,78.8,92.3%,2213.1%
211,P E Analytics,SME,205.0,214.9,04 Apr `22,31.6 Cr,₹ 114,13.2x,126.4x,59.2x,46.3x,170.0,168.5,49.1%,79.8%
212,Krishival Foods,SME,379.0,845.0,31 Mar `22,19.4 Cr,₹ 37,-,2.9x,1.6x,2.3x,42.0,44.1,13.5%,924.3%
213,Evoq Remedies,SME,5.0,12.5,30 Mar `22,9.7 Cr,₹ 27,-,0.3x,3.0x,1.7x,25.0,23.8,-7.4%,-81.3%
214,Achyut Healthcare,SME,3.5,83.6,30 Mar `22,3.6 Cr,₹ 20,-,1.9x,6.8x,4.3x,20.1,21.1,0.8%,273.7%
215,KN Agri Resources,SME,210.0,525.0,28 Mar `22,49.4 Cr,₹ 75,10.7x,771.6x,87.5x,151.9x,153.7,146.0,104.9%,180.0%
216,Swaraj Suiting,SME,192.8,424.4,28 Mar `22,10.7 Cr,₹ 56,-,13.8x,10.5x,12.1x,56.0,53.2,0.0%,588.4%
217,Cool Caps Industries,SME,96.5,1116.1,24 Mar `22,11.6 Cr,₹ 38,-,4.6x,11.3x,7.9x,35.9,37.6,-5.5%,2440.8%
218,Bhatia Colour Chem,SME,327.0,462.4,24 Mar `22,40.0 Cr,₹ 80,-,2.7x,0.2x,1.4x,40.0,42.0,-50.0%,308.8%
219,SP Refractories,SME,142.0,25.4,22 Mar `22,4.9 Cr,₹ 90,-,5.6x,8.8x,7.2x,90.2,90.1,0.2%,57.8%
220,Shigan Quantum Tech,SME,82.8,157.8,11 Mar `22,22.7 Cr,₹ 50,-,27.7x,8.2x,17.9x,61.0,64.0,22.0%,65.6%
221,Ekennis Software,SME,60.0,8.4,07 Mar `22,2.9 Cr,₹ 72,-,37.0x,19.0x,28.0x,80.0,84.0,11.1%,-16.7%
222,Vaidya Sane Ayurved,SME,167.8,176.4,23 Feb `22,20.2 Cr,₹ 73,-,2.7x,3.0x,2.8x,102.0,105.4,39.7%,129.9%
223,Richa Info Systems,SME,76.0,78.5,21 Feb `22,10.0 Cr,₹ 125,-,3.2x,6.9x,5.0x,125.0,118.8,0.0%,-39.2%
224,Maruti Interior Products,SME,107.0,161.6,16 Feb `22,11.0 Cr,₹ 55,-,107.0x,39.8x,73.4x,68.5,71.9,24.6%,289.1%
225,Safa Systems & Tech,SME,41.9,104.7,09 Feb `22,4.0 Cr,₹ 10,-,64.6x,40.8x,52.7x,16.6,15.7,65.5%,319.0%
226,Quality RO Industries,SME,142.5,36.3,09 Feb `22,2.7 Cr,₹ 51,-,4.5x,10.1x,7.3x,52.3,53.7,2.5%,179.4%
227,Alkosign,SME,109.3,78.7,01 Feb `22,12.2 Cr,₹ 45,-,3.1x,6.4x,4.8x,45.3,45.3,0.6%,143.0%
228,Precision Metaliks,SME,22.1,50.6,01 Feb `22,21.9 Cr,₹ 51,-,2.8x,11.9x,7.4x,75.0,71.3,47.1%,-56.8%
229,Fabino Enterprises,SME,28.1,5.9,13 Jan `22,3.2 Cr,₹ 36,-,3.5x,10.4x,6.9x,39.5,40.4,9.7%,-21.9%
230,Timescan Logistics,SME,63.0,44.0,12 Jan `22,4.8 Cr,₹ 51,-,141.4x,90.3x,115.9x,82.0,86.1,60.8%,147.1%
231,Ascensive Educare,SME,17.1,69.9,12 Jan `22,2.3 Cr,₹ 26,-,1.2x,4.1x,2.7x,31.6,28.9,21.4%,557.7%
232,AB Cotspin,SME,424.0,696.2,11 Jan `22,10.1 Cr,₹ 35,-,9.4x,17.5x,13.5x,38.5,40.4,10.0%,1111.4%
233,Trident Techlabs,SME,510.0,881.3,29 Dec `23,16.0 Cr,₹ 35,41.4x,825.8x,1023.1x,502.6x,98.2,103.0,180.4%,1357.1%
234,Indifra,SME,21.1,15.4,29 Dec `23,14.0 Cr,₹ 65,-,2.3x,11.5x,6.9x,72.0,68.4,10.8%,-67.5%
235,Supreme Power Equipment,SME,223.7,559.1,29 Dec `23,46.7 Cr,₹ 65,-,159.3x,161.2x,160.3x,98.0,102.9,50.8%,244.2%
236,Electro Force,SME,53.0,124.0,27 Dec `23,80.7 Cr,₹ 93,-,2.1x,6.1x,4.1x,100.0,105.0,7.5%,-43.0%
237,Shanti Spintex,SME,68.0,114.8,27 Dec `23,31.3 Cr,₹ 70,14.3x,42.6x,22.0x,25.5x,76.0,79.8,8.6%,-2.9%
238,Sahara Maritime,SME,40.8,12.5,26 Dec `23,6.9 Cr,₹ 81,-,8.6x,34.5x,21.6x,81.0,81.2,0.0%,-49.6%
239,Shree OSFM E-Mobility,SME,107.5,165.6,21 Dec `23,24.6 Cr,₹ 65,-,6.6x,8.8x,7.7x,65.0,68.3,0.0%,65.4%
240,Benchmark Computer ,SME,27.0,18.5,21 Dec `23,12.2 Cr,₹ 66,-,179.9x,279.5x,229.7x,80.0,77.1,21.2%,-59.1%
241,Siyaram Recycling ,SME,144.4,314.7,21 Dec `23,23.0 Cr,₹ 46,96.4x,441.6x,459.1x,358.1x,55.0,57.8,19.6%,214.0%
242,S J Logistics,SME,465.6,712.0,19 Dec `23,48.0 Cr,₹ 125,61.7x,651.2x,473.1x,294.1x,175.0,183.8,40.0%,272.4%
243,Presstonic Engg,SME,95.2,73.3,18 Dec `23,23.3 Cr,₹ 72,-,127.0x,179.3x,153.2x,140.0,147.0,94.4%,32.1%
244,Accent Microcell,SME,271.5,651.3,15 Dec `23,78.4 Cr,₹ 140,63.0x,766.7x,544.7x,337.1x,300.0,315.0,114.3%,93.9%
245,Graphisads,SME,40.5,74.1,13 Dec `23,53.4 Cr,₹ 111,-,2.0x,5.3x,3.6x,111.5,106.0,0.5%,-63.5%
246,Sheetal Universal,SME,126.8,145.3,11 Dec `23,23.8 Cr,₹ 70,-,201.9x,123.2x,162.5x,75.0,75.4,7.1%,81.1%
247,Net Avenue Tech,SME,6.8,14.5,08 Dec `23,10.3 Cr,₹ 18,32.8x,822.1x,958.5x,475.2x,42.0,39.9,133.3%,-62.5%
248,Marinetrans,SME,16.9,21.6,08 Dec `23,10.9 Cr,₹ 26,-,17.2x,44.8x,31.0x,30.0,31.0,15.4%,-34.8%
249,Deepak Chemtex,SME,155.0,168.4,06 Dec `23,23.0 Cr,₹ 80,96.8x,473.2x,475.4x,374.3x,152.0,159.6,90.0%,93.8%
250,AMIC Forging,SME,1665.0,1746.3,06 Dec `23,34.8 Cr,₹ 126,91.4x,435.9x,273.0x,268.8x,239.4,251.3,90.0%,1221.4%
251,Swashthik Plascon,SME,40.5,78.8,05 Dec `23,40.8 Cr,₹ 86,3.4x,26.7x,13.6x,14.4x,120.1,126.1,39.6%,-52.9%
252,Rockingdeals Circular,SME,185.8,105.1,30 Nov `23,21.0 Cr,₹ 140,17.7x,438.7x,195.2x,143.0x,300.0,315.0,114.3%,32.7%
253,Arrowhead Seperation,SME,71.6,13.4,28 Nov `23,13.0 Cr,₹ 233,-,44.9x,134.6x,89.8x,250.0,237.5,7.3%,-69.3%
254,Sunrest Lifescience,SME,52.0,22.3,20 Nov `23,10.8 Cr,₹ 84,-,27.8x,62.4x,45.1x,84.0,79.8,0.0%,-38.1%
255,Kalyani Cast-Tech,SME,539.7,387.5,17 Nov `23,30.1 Cr,₹ 139,66.3x,188.6x,190.9x,162.4x,264.1,277.3,90.0%,288.3%
256,ROX Hi-Tech,SME,45.0,102.8,16 Nov `23,54.5 Cr,₹ 83,44.8x,440.4x,256.3x,178.2x,135.0,141.8,62.6%,-45.8%
257,Baba Food Processing,SME,38.0,62.0,15 Nov `23,33.0 Cr,₹ 76,135.9x,34.0x,137.4x,66.0x,76.0,72.2,0.0%,-50.0%
258,Micropro Software ,SME,23.3,33.2,10 Nov `23,30.7 Cr,₹ 81,-,21.6x,46.6x,34.1x,80.0,76.0,-1.2%,-71.3%
259,Maitreya Medicare,SME,259.2,175.6,07 Nov `23,14.9 Cr,₹ 82,42.6x,1021.4x,673.1x,410.1x,162.6,154.4,98.2%,216.1%
260,Mish Designs,SME,60.0,18.4,07 Nov `23,9.8 Cr,₹ 122,-,94.2x,150.5x,122.3x,160.0,152.0,31.1%,-50.8%
261,KK Shah Hospitals,SME,43.0,29.3,06 Nov `23,8.8 Cr,₹ 45,-,16.9x,8.9x,12.9x,56.1,58.9,24.7%,-4.5%
262,Transteel Seating,SME,132.0,266.4,06 Nov `23,50.0 Cr,₹ 70,4.6x,111.5x,35.9x,31.6x,88.9,93.3,27.0%,88.6%
263,Vrundavan Plantation,SME,50.1,26.7,06 Nov `23,15.3 Cr,₹ 108,-,11.1x,24.2x,17.7x,107.0,101.7,-0.9%,-53.6%
264,Paragon Fine & Speciality,SME,66.0,129.1,03 Nov `23,51.7 Cr,₹ 100,43.2x,557.0x,245.9x,191.3x,225.0,213.8,125.0%,-34.0%
265,Shanthala FMCG ,SME,28.0,18.8,03 Nov `23,16.1 Cr,₹ 91,-,4.6x,2.9x,3.8x,108.0,103.5,18.7%,-69.2%
266,On Door Concepts,SME,153.3,86.6,01 Nov `23,31.2 Cr,₹ 208,-,3.1x,7.4x,5.3x,214.0,203.4,2.9%,-26.3%
267,Rajgor Castor Derivatives,SME,20.8,49.7,31 Oct `23,47.8 Cr,₹ 50,17.9x,345.2x,105.8x,97.7x,59.0,61.1,18.0%,-58.4%
268,Womancart,SME,225.0,136.0,27 Oct `23,9.6 Cr,₹ 86,-,53.6x,68.3x,60.9x,117.0,122.8,36.0%,161.6%
269,Arvind and Company ,SME,63.0,112.1,25 Oct `23,14.7 Cr,₹ 45,-,413.8x,305.5x,359.6x,80.0,80.0,77.8%,40.0%
270,Committed Cargo Care,SME,234.6,267.0,18 Oct `23,24.9 Cr,₹ 77,-,89.5x,74.7x,82.1x,82.0,86.1,6.5%,204.6%
271,Plada Infotech ,SME,18.0,15.4,13 Oct `23,12.4 Cr,₹ 48,-,37.9x,70.1x,54.0x,59.0,56.0,22.9%,-62.5%
272,Vivaa Tradecom,SME,47.3,18.6,12 Oct `23,8.0 Cr,₹ 51,-,0.8x,2.7x,1.8x,40.8,42.5,-20.0%,-7.3%
273,Sharp Chucks & Machines,SME,80.0,92.1,12 Oct `23,16.8 Cr,₹ 58,-,36.9x,60.5x,48.7x,66.0,65.0,13.8%,38.0%
274,Karnika Industries,SME,633.0,784.9,12 Oct `23,25.1 Cr,₹ 76,-,3.2x,2.8x,3.0x,81.0,82.6,6.6%,732.9%
275,Sunita Tools,SME,847.0,517.5,11 Oct `23,22.0 Cr,₹ 145,-,5.2x,20.0x,12.6x,155.0,147.3,6.9%,484.1%
276,Goyal Salt,SME,156.9,280.9,11 Oct `23,18.6 Cr,₹ 38,33.1x,518.9x,493.4x,267.1x,130.0,136.1,242.1%,313.0%
277,Oneclick Logistics,SME,205.3,74.0,11 Oct `23,9.9 Cr,₹ 99,-,132.2x,212.4x,172.3x,140.0,133.0,41.4%,107.4%
278,Canarys Automations,SME,33.9,193.9,11 Oct `23,47.0 Cr,₹ 31,1.3x,22.3x,14.1x,8.9x,43.5,41.3,40.2%,9.3%
279,City Crops Agro,SME,19.0,31.0,10 Oct `23,15.0 Cr,₹ 25,-,2.1x,4.5x,3.3x,25.5,25.4,2.0%,-24.0%
280,Kontor Space,SME,80.0,49.4,10 Oct `23,15.6 Cr,₹ 93,-,39.8x,90.6x,65.2x,122.0,115.9,31.2%,-14.0%
281,Vishnusurya Projects,SME,181.5,446.7,10 Oct `23,50.0 Cr,₹ 68,-,34.6x,41.4x,38.0x,73.0,76.7,7.3%,166.9%
282,Arabian Petroleum,SME,85.0,92.6,09 Oct `23,20.2 Cr,₹ 70,-,15.0x,22.0x,18.5x,77.4,76.3,10.6%,21.4%
283,E Factor Experiences,SME,234.1,306.3,09 Oct `23,25.9 Cr,₹ 75,24.5x,224.1x,63.4x,68.0x,115.0,120.8,53.3%,212.1%
284,Organic Recycling,SME,314.0,241.8,06 Oct `23,50.0 Cr,₹ 200,-,4.2x,2.1x,3.1x,215.0,225.8,7.5%,57.0%
285,Vinyas Innovative,SME,1299.0,1634.8,06 Oct `23,54.7 Cr,₹ 165,22.7x,126.8x,28.3x,40.3x,330.0,346.5,100.0%,687.3%
286,Inspire Films,SME,20.3,27.6,05 Oct `23,21.2 Cr,₹ 59,13.4x,196.2x,239.7x,120.0x,67.0,67.8,13.6%,-65.7%
287,Newjaisa Tech,SME,36.4,128.5,05 Oct `23,39.9 Cr,₹ 47,0.5x,20.9x,8.7x,6.4x,71.0,70.8,51.1%,-22.7%
288,Mangalam Alloys,SME,77.3,190.9,04 Oct `23,54.9 Cr,₹ 80,-,2.4x,8.3x,5.3x,80.0,76.0,0.0%,-3.3%
289,Digikore Studios,SME,196.0,124.1,04 Oct `23,30.5 Cr,₹ 171,32.4x,448.2x,456.3x,243.1x,270.0,283.5,57.9%,14.6%
290,Saakshi Medtech,SME,214.0,377.8,03 Oct `23,45.2 Cr,₹ 97,19.8x,267.1x,100.8x,85.3x,146.0,153.3,50.5%,120.6%
291,Master Components,SME,369.0,147.6,29 Sep `23,15.4 Cr,₹ 140,-,5.7x,9.6x,7.6x,140.4,140.2,0.3%,163.6%
292,Cellecor Gadgets,SME,36.5,764.3,28 Sep `23,50.8 Cr,₹ 92,-,101.2x,115.4x,108.3x,92.0,96.6,0.0%,296.2%
293,Hi-Green Carbon,SME,205.7,513.9,28 Sep `23,52.8 Cr,₹ 75,36.6x,310.7x,257.1x,154.9x,77.0,80.8,2.7%,174.2%
294,Marco Cables & Conductors,SME,43.3,81.0,28 Sep `23,18.7 Cr,₹ 36,-,23.1x,33.3x,28.2x,38.7,40.6,7.5%,20.3%
295,Kody Technolab,SME,753.0,959.9,27 Sep `23,27.5 Cr,₹ 160,-,39.2x,50.9x,45.0x,170.0,178.5,6.3%,841.3%
296,Techknowgreen ,SME,176.2,130.1,27 Sep `23,16.7 Cr,₹ 86,-,9.7x,15.0x,12.4x,87.0,91.3,1.2%,104.9%
297,Kundan Edifice,SME,121.0,124.3,26 Sep `23,25.2 Cr,₹ 91,-,34.0x,41.9x,37.9x,75.0,78.8,-17.6%,33.0%
298,Madhusudan Masala,SME,147.1,212.9,26 Sep `23,23.8 Cr,₹ 70,46.1x,764.7x,786.2x,412.9x,120.0,114.0,71.4%,110.1%
299,Chavda Infra,SME,130.0,320.5,25 Sep `23,43.3 Cr,₹ 65,50.5x,321.7x,268.3x,167.4x,91.0,86.5,40.0%,100.0%
300,Holmarc Opto-Mechatronics,SME,129.3,130.0,25 Sep `23,11.4 Cr,₹ 40,-,88.7x,72.0x,80.3x,65.3,68.5,63.1%,223.4%
301,Unihealth Consultancy,SME,171.0,263.3,21 Sep `23,56.5 Cr,₹ 132,7.9x,50.4x,32.7x,23.0x,135.0,133.0,2.3%,29.6%
302,Meson Valves,SME,370.0,375.9,21 Sep `23,31.1 Cr,₹ 102,-,137.0x,192.6x,164.8x,193.8,203.4,90.0%,262.8%
303,Jiwanram Sheoduttrai,SME,9.3,22.9,18 Sep `23,17.1 Cr,₹ 23,-,66.3x,144.0x,105.2x,30.0,28.5,30.4%,-59.8%
304,Kahan Packaging,SME,60.0,16.3,15 Sep `23,5.8 Cr,₹ 80,-,393.1x,986.8x,689.9x,152.0,159.6,90.0%,-25.0%
305,Saroja Pharma,SME,36.0,14.5,13 Sep `23,9.1 Cr,₹ 84,-,2.9x,14.1x,8.5x,65.0,68.3,-22.6%,-57.1%
306,Pramara Promotions,SME,188.0,217.5,13 Sep `23,15.3 Cr,₹ 63,-,32.4x,16.3x,24.3x,111.0,116.5,76.2%,198.4%
307,Basilic Fly Studio,SME,420.0,976.1,11 Sep `23,66.3 Cr,₹ 97,53.1x,628.4x,473.8x,286.6x,271.0,284.6,179.4%,333.0%
308,Mono Pharmacare,SME,25.6,45.3,07 Sep `23,14.8 Cr,₹ 28,10.3x,7.7x,18.4x,12.8x,29.0,30.4,3.6%,-8.4%
309,CPS Shapers,SME,764.0,168.9,07 Sep `23,11.1 Cr,₹ 185,-,188.0x,285.4x,236.7x,450.0,472.5,143.2%,313.0%
310,Sahaj Fashions,SME,10.2,13.4,06 Sep `23,14.0 Cr,₹ 30,-,3.7x,11.1x,7.4x,31.0,30.4,3.3%,-66.2%
311,Sungarner Energies,SME,272.0,63.1,31 Aug `23,5.3 Cr,₹ 83,-,100.8x,175.5x,138.2x,250.0,262.4,201.2%,227.7%
312,Bondada Engineering,SME,433.0,4832.0,30 Aug `23,42.7 Cr,₹ 75,8.6x,365.7x,135.5x,106.6x,142.5,149.6,90.0%,2786.7%
313,Crop Life Science,SME,52.9,90.7,30 Aug `23,26.7 Cr,₹ 52,-,1.6x,6.8x,4.2x,56.0,53.1,7.6%,1.7%
314,Shoora Designs,SME,73.8,11.1,29 Aug `23,2.0 Cr,₹ 48,-,33.2x,87.7x,60.4x,91.2,95.8,90.0%,53.8%
315,Shelter Pharma,SME,42.0,48.6,23 Aug `23,16.0 Cr,₹ 42,-,6.4x,21.2x,13.8x,40.0,42.0,-4.8%,0.0%
316,Srivari Spices & Foods,SME,154.3,132.2,18 Aug `23,9.0 Cr,₹ 42,42.0x,1044.5x,687.9x,418.4x,101.5,106.5,141.7%,267.4%
317,Yudiz Solutions,SME,31.4,32.5,17 Aug `23,44.8 Cr,₹ 165,1.5x,6.8x,8.5x,4.8x,185.0,181.4,12.1%,-80.9%
318,Sangani Hospitals,SME,71.4,98.4,17 Aug `23,15.2 Cr,₹ 40,10.8x,1.4x,5.9x,4.4x,44.0,41.9,10.0%,78.5%
319,Oriana Power,SME,2128.0,4323.9,11 Aug `23,59.7 Cr,₹ 118,27.4x,239.3x,193.7x,117.4x,302.0,317.1,155.9%,1703.4%
320,Vinsys IT Services,SME,379.9,557.7,11 Aug `23,49.8 Cr,₹ 128,14.0x,101.0x,106.0x,59.3x,207.3,217.6,61.9%,196.8%
321,Zeal Global Services,SME,132.3,176.1,09 Aug `23,36.5 Cr,₹ 103,-,4.2x,3.6x,3.9x,147.0,154.3,42.7%,28.4%
322,Khazanchi Jewellers,SME,572.0,1415.5,07 Aug `23,96.7 Cr,₹ 140,-,1.8x,0.7x,1.3x,142.3,149.4,1.6%,308.6%
323,Shri Techtex,SME,89.5,223.4,04 Aug `23,45.1 Cr,₹ 61,30.9x,333.4x,207.5x,138.1x,81.2,85.2,33.0%,46.8%
324,Innovatus Entertainment,SME,14.2,5.6,04 Aug `23,7.7 Cr,₹ 50,-,57.0x,142.9x,100.0x,50.0,49.0,0.0%,-71.7%
325,Yasons Chemex Care,SME,12.7,24.5,03 Aug `23,20.6 Cr,₹ 40,-,45.3x,65.2x,55.2x,32.0,33.6,-20.0%,-68.3%
326,Service Care,SME,56.0,64.4,26 Jul `23,20.7 Cr,₹ 67,1.0x,7.9x,12.9x,6.2x,70.9,67.5,5.8%,-16.4%
327,Asarfi Hospital,SME,140.9,277.3,26 Jul `23,26.9 Cr,₹ 52,50.6x,334.2x,167.8x,181.5x,98.8,103.7,90.0%,171.0%
328,Drone Destination,SME,108.4,264.5,21 Jul `23,44.2 Cr,₹ 65,18.7x,226.4x,231.7x,124.4x,107.5,102.1,65.3%,66.8%
329,Ahasolar Tech,SME,106.5,32.8,21 Jul `23,12.8 Cr,₹ 157,-,22.3x,43.8x,33.0x,203.0,213.2,29.3%,-32.1%
330,AccelerateBS,SME,93.1,32.0,19 Jul `23,5.7 Cr,₹ 90,-,37.3x,56.0x,46.6x,109.5,115.0,21.7%,65.5%
331,Kaka Industries,SME,200.9,274.4,19 Jul `23,21.2 Cr,₹ 58,72.1x,316.0x,358.9x,271.3x,110.2,115.7,90.0%,246.4%
332,Alphalogic ,SME,119.7,122.0,14 Jul `23,12.9 Cr,₹ 96,-,-,5.1x,4.6x,96.0,96.3,0.0%,149.4%
333,Tridhya Tech,SME,17.5,40.8,13 Jul `23,26.4 Cr,₹ 42,10.0x,224.3x,83.2x,67.8x,42.0,44.1,0.0%,-58.3%
334,Synoptics Tech,SME,91.3,77.5,13 Jul `23,54.0 Cr,₹ 237,-,2.6x,2.4x,2.5x,238.0,226.1,0.4%,-61.5%
335,Global Pet ,SME,133.3,157.2,11 Jul `23,13.2 Cr,₹ 49,-,4.3x,3.9x,4.1x,51.7,55.4,5.5%,172.1%
336,Pentagon Rubber,SME,61.3,47.2,10 Jul `23,16.2 Cr,₹ 70,14.6x,204.4x,173.8x,98.8x,117.3,117.3,67.6%,-12.5%
337,Essen Speciality ,SME,444.0,1102.9,06 Jul `23,66.3 Cr,₹ 107,24.0x,149.7x,90.4x,66.1x,140.0,147.0,30.8%,397.9%
338,Greenchef Appliances,SME,61.3,142.7,06 Jul `23,53.6 Cr,₹ 87,22.7x,127.9x,83.1x,59.6x,104.0,109.2,19.5%,-29.5%
339,Magson Retail ,SME,136.5,133.4,06 Jul `23,13.7 Cr,₹ 65,-,5.9x,7.0x,6.5x,91.2,95.7,40.2%,110.0%
340,Veefin Solutions,SME,338.1,810.7,05 Jul `23,46.7 Cr,₹ 82,-,3.2x,1.6x,2.4x,86.0,90.2,4.9%,312.4%
341,Cosmic CRF,SME,1539.0,1414.0,30 Jun `23,60.1 Cr,₹ 330,3.6x,2.8x,0.6x,1.1x,251.2,238.7,-23.9%,366.4%
342,Vilin Bio Med,SME,26.2,36.5,30 Jun `23,12.0 Cr,₹ 30,-,1.3x,4.1x,2.7x,30.0,28.5,0.0%,-12.7%
343,Aatmaj Healthcare,SME,19.0,42.9,30 Jun `23,38.4 Cr,₹ 60,-,35.0x,28.8x,31.9x,56.0,53.2,-6.7%,-68.3%
