,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
13288,Utkarsh Small Finance,ROE Ann. %,-41.3%,-46.7%,0.79%,16.73%,20.22%,3.90%,8.17%,18.31%,12.14%,-15.30%,1.58%,,
13289,Utkarsh Small Finance,ROCE Ann. %,-,-,10.22%,10.20%,10.05%,-,-,-,-,-,-,,
13290,Utkarsh Small Finance,Profitability Ratio, , , , , , , , , , , ,,
13291,Utkarsh Small Finance,EBITDA Ann. Margin %,-,-,-,-,-,-,-,-,-,-,-,,
13292,Utkarsh Small Finance,EBIT Ann. Margin %,-,-,-,-,-,-,-,-,-,-,-,,
13293,Utkarsh Small Finance,PBT Ann. Margin %,-,-,-,-,-,-,-,-,-,-,-,,
13294,Utkarsh Small Finance,NPM Ann. %,-42.8%,-46.6%,0.62%,15.65%,16.14%,3.32%,7.07%,14.28%,10.65%,-12.14%,5.56%,,
13295,Utkarsh Small Finance,Asset Turnover Ann. %,-,-,0.1,0.2,0.3,-,-,-,-,-,-,,
13296,Utkarsh Small Finance,Liquidity Ratio, , , , , , , , , , , ,,
13297,Utkarsh Small Finance,Current Ratio Ann.,-,-,-,-,-,-,-,-,-,-,-,,
13298,Utkarsh Small Finance,Quick Ratio Ann.,-,-,-,-,-,-,-,-,-,-,-,,
13299,Utkarsh Small Finance,Dividend Payout to NP Ann.,-,-,2.3,,,-,-,-,-,-,-,,
13300,Utkarsh Small Finance,Earning Retention Ann. %,-,-,-,-,-,-,-,-,-,-,-,,
13301,Utkarsh Small Finance,Cash Earning Retention Ann. %,-,-,-,-,-,-,-,-,-,-,-,,
13302,Utkarsh Small Finance,Cash Earning Retention Ann. %,-,-,-,-,-,-,-,-,-,-,-,,
13303,Utkarsh Small Finance,Valuation Ratio, , , , , , , , , , , ,,
13304,Utkarsh Small Finance,EnterpriseValue Ann.,-,-,"23,707.9","23,372.8",,,,,,,,,
13305,Utkarsh Small Finance,EV Per Net Sales Ann.,-,-,6.3,7.4,,,,,,,,,
13306,Utkarsh Small Finance,,-,-,0.8,1.7,-,-,-,-,-,-,-,,
13307,Utkarsh Small Finance,EV Per EBITDA Ann.,-,-,-,-,-,-,-,-,-,-,-,,
13308,Utkarsh Small Finance,Market Cap Per Sales Ann.,-,-,-,-,-,-,-,-,-,-,-,,
13309,Utkarsh Small Finance,Retention Ratio Ann. %,-,-,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,
13310,Utkarsh Small Finance,Earnings Yield Ann.,-,-,0,0.1,,,,,,,,,
13311,Utkarsh Small Finance,Total Debt to Total Equity Ann., , ,0.8,0.7,1.2, , , , , , ,,
13312,Drone Destination,BVSH Ann.,5%,,24.4,25.4,35.2,21.1,2.2,,,,,,
13313,Drone Destination,RoA Ann. %,-,,-8.60%,9.31%,10.34%,7.44%,-4.73%,,,,,,
13314,Drone Destination,ROE Ann. %,-,,-11.45%,11.49%,13.89%,89.55%,-188.48%,,,,,,
13315,Drone Destination,ROCE Ann. %,-,,-11.64%,15.36%,18.59%,16.99%,-10.84%,,,,,,
13316,Drone Destination,Profitability Ratio, ,, , , , , ,,,,,,
13317,Drone Destination,EBITDA Ann. Margin %,-50%,,1.95%,43.56%,38.95%,15.58%,-6.11%,,,,,,
13318,Drone Destination,EBIT Ann. Margin %,-,,-29.76%,30.99%,28.74%,11.44%,-15.32%,,,,,,
13319,Drone Destination,PBT Ann. Margin %,-,,-35.59%,29.79%,27.34%,10.82%,-15.71%,,,,,,
13320,Drone Destination,NPM Ann. %,-,,-27.36%,22.25%,20.22%,8.08%,-11.63%,,,,,,
13321,Drone Destination,Asset Turnover Ann. %,-40.2%,,0.3,0.6,0.9,1.4,-,,,,,,
13322,Drone Destination,Liquidity Ratio, ,, , , , , ,,,,,,
13323,Drone Destination,Current Ratio Ann.,24.9%,,3.7,5,3.7,1.9,1.6,,,,,,
13324,Drone Destination,Quick Ratio Ann.,19.1%,,2.7,4.8,3.6,1.6,1,,,,,,
13325,Drone Destination,Dividend Payout to NP Ann.,-,,-,-,-,-,-,,,,,,
13326,Drone Destination,Earning Retention Ann. %,-,,-,,,,,,,,,,
13327,Drone Destination,Cash Earning Retention Ann. %,-,,-,,,,,,,,,,
13328,Drone Destination,Cash Earning Retention Ann. %,-,,-,,,,,,,,,,
13329,Drone Destination,Valuation Ratio, ,, , , , , ,,,,,,
13330,Drone Destination,EnterpriseValue Ann.,-,,264.6,301.3,,,,,,,,,
13331,Drone Destination,EV Per Net Sales Ann.,-,,10.6,9.5,-,-,-,,,,,,
13332,Drone Destination,,-,,4.5,5.2,-,-,-,,,,,,
13333,Drone Destination,EV Per EBITDA Ann.,-,,544.8,21.7,-,-,-,,,,,,
13334,Drone Destination,Market Cap Per Sales Ann.,-,,10.7,10,-,-,-,,,,,,
13335,Drone Destination,Retention Ratio Ann. %,-,,-,,,,,,,,,,
13336,Drone Destination,Earnings Yield Ann.,-,,-0,0,,,,,,,,,
13337,Drone Destination,Total Debt to Total Equity Ann.,-64.1%,,0.3,0.1,0.1,6.5,22.6,,,,,,
13338,Ahasolar Tech,BVSH Ann.,-60.7%,17.2%,47.7,51,17.9,787.1,100.8,21.6,,,,,
13339,Ahasolar Tech,RoA Ann. %,-,-,-5.57%,0.24%,33.55%,28.91%,9.25%,1.49%,,,,,
13340,Ahasolar Tech,ROE Ann. %,-,-,-6.90%,0.26%,43.54%,87.19%,78.47%,95.83%,,,,,
13341,Ahasolar Tech,ROCE Ann. %,-,-,-6.36%,0.39%,41.48%,66.75%,31.48%,9.16%,,,,,
13342,Ahasolar Tech,Profitability Ratio, , , , , , , , ,,,,,
13343,Ahasolar Tech,EBITDA Ann. Margin %,-,-,-1.50%,0.85%,9.24%,5.55%,5.87%,1.87%,,,,,
13344,Ahasolar Tech,EBIT Ann. Margin %,-,-,-2.47%,0.15%,8.22%,5.40%,5.72%,1.77%,,,,,
13345,Ahasolar Tech,PBT Ann. Margin %,-,-,-2.67%,0.13%,8.22%,5.40%,5.72%,1.77%,,,,,
13346,Ahasolar Tech,NPM Ann. %,-,-,-2.60%,0.10%,8.38%,4.00%,4.21%,1.60%,,,,,
13347,Ahasolar Tech,Asset Turnover Ann. %,-40.8%,-,2.2,3.7,5.5,10.6,1.7,-,,,,,
13348,Ahasolar Tech,Liquidity Ratio, , , , , , , , ,,,,,
13349,Ahasolar Tech,Current Ratio Ann.,34.3%,50.3%,4.6,7.5,4,1.9,1.4,0.6,,,,,
13350,Ahasolar Tech,Quick Ratio Ann.,34.3%,55.9%,4.6,7.4,4,1.9,1.4,0.5,,,,,
13351,Ahasolar Tech,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,,,,,
13352,Ahasolar Tech,Earning Retention Ann. %,-,-,-,,,,,,,,,,
13353,Ahasolar Tech,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
13354,Ahasolar Tech,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
13355,Ahasolar Tech,Valuation Ratio, , , , , , , , ,,,,,
13356,Ahasolar Tech,EnterpriseValue Ann.,-,-,21.5,128.8,,,,,,,,,
13357,Ahasolar Tech,EV Per Net Sales Ann.,-,-,0.6,3.1,-,-,-,-,,,,,
13358,Ahasolar Tech,,-,-,1.9,8.5,-,-,-,-,,,,,
13359,Ahasolar Tech,EV Per EBITDA Ann.,-,-,-36.5,359.5,-,-,-,-,,,,,
13360,Ahasolar Tech,Market Cap Per Sales Ann.,-,-,0.7,3.2,-,-,-,-,,,,,
13361,Ahasolar Tech,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
13362,Ahasolar Tech,Earnings Yield Ann.,-,-,-0,,,,,,,,,,
13363,Ahasolar Tech,Total Debt to Total Equity Ann.,-47.7%,-60.7%,0.1, , ,0.7,2.4,10.7,,,,,
13364,AccelerateBS,BVSH Ann.,8.3%,4.9%,12.7,18.2,11.1,10,10,10,,,,,
13365,AccelerateBS,RoA Ann. %,-7%,-28.2%,10.39%,0.62%,13.23%,12.91%,23.50%,54.63%,,,,,
13366,AccelerateBS,ROE Ann. %,-10.4%,-33.5%,16.79%,0.78%,17.70%,23.33%,41.50%,128.84%,,,,,
13367,AccelerateBS,ROCE Ann. %,-16.6%,-38.5%,17.19%,37.65%,27.91%,29.61%,60.62%,195.15%,,,,,
13368,AccelerateBS,Profitability Ratio, , , , , , , , ,,,,,
13369,AccelerateBS,EBITDA Ann. Margin %,11%,-4%,18.48%,28.28%,26.73%,13.51%,15.47%,22.63%,,,,,
13370,AccelerateBS,EBIT Ann. Margin %,12.6%,-5.1%,16.46%,26.14%,24.74%,11.54%,13.83%,21.43%,,,,,
13371,AccelerateBS,PBT Ann. Margin %,15.1%,-4.2%,16.43%,12.56%,23.11%,10.78%,13.75%,20.35%,,,,,
13372,AccelerateBS,NPM Ann. %,13.8%,-5.2%,10.82%,0.44%,13.79%,7.35%,9.45%,14.10%,,,,,
13373,AccelerateBS,Asset Turnover Ann. %,-16.7%,-,1.1,1.8,1.1,1.9,2.9,-,,,,,
13374,AccelerateBS,Liquidity Ratio, , , , , , , , ,,,,,
13375,AccelerateBS,Current Ratio Ann.,59.8%,57.3%,10.6,31.1,4.1,2.6,1.8,1.1,,,,,
13376,AccelerateBS,Quick Ratio Ann.,59.8%,57.3%,10.6,31.1,4.1,2.6,1.8,1.1,,,,,
13377,AccelerateBS,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,,,,,
13378,AccelerateBS,Earning Retention Ann. %,-,-,-,,,,,,,,,,
13379,AccelerateBS,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
13380,AccelerateBS,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
13381,AccelerateBS,Valuation Ratio, , , , , , , , ,,,,,
13382,AccelerateBS,EnterpriseValue Ann.,-,-,41.8,66,,,,,,,,,
13383,AccelerateBS,EV Per Net Sales Ann.,-,-,6.2,9.7,-,-,-,-,,,,,
13384,AccelerateBS,,-,-,9.9,17.3,-,-,-,-,,,,,
13385,AccelerateBS,EV Per EBITDA Ann.,-,-,33.4,34.4,-,-,-,-,,,,,
13386,AccelerateBS,Market Cap Per Sales Ann.,-,-,6.4,10,-,-,-,-,,,,,
13387,AccelerateBS,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
13388,AccelerateBS,Earnings Yield Ann.,-,-,0,,,,,,,,,,
13389,AccelerateBS,Total Debt to Total Equity Ann., , ,0.4,0.1,0.1,0.4,0.2, ,,,,,
